User Input,Response,sentiment,entities,context
what was wrong with you,my stomach was upset.,,,was
my stomach was upset,do you feel better now?,,,was
do you feel better now,i don't really feel too well yet.,,,feel
i dont really feel too well yet,do you want anything to make you feel better?,,,feel
do you want anything to make you feel better,"no, thanks. i already took some medicine.",,,want
no thanks i already took some medicine,i hope you feel better.,,,took
i hope you feel better,thank you.,,,hope
what reason do you have for missing school,i was sick.,,,have
i was sick,how were you sick?,,,was
how were you sick,i had a stomachache.,,,were
i had a stomachache,did it get any better?,,,had
did it get any better,i'm still feeling under the weather.,,,get
im still feeling under the weather,would you like anything for your stomach?,,,feeling
would you like anything for your stomach,i took something earlier.,,,like
i took something earlier,get better.,,,took
get better,thanks a lot.,,,get
why didnt you go to school yesterday,i stayed home because i wasn't feeling well.,,,go
i stayed home because i wasnt feeling well,what was your problem?,,,stayed
what was your problem,my stomach was bothering me.,,,was
my stomach was bothering me,are you feeling any better?,,,bothering
are you feeling any better,i'm still feeling a little sick.,,,feeling
im still feeling a little sick,"i'm going to the store, would you like any pepto bismol?",,,feeling
im going to the store would you like any pepto bismol,that's okay.,,,like
thats okay,i hope you feel better.,,,s
did you hear the good news,"no, i haven't.",,,hear
no i havent,i got a promotion at my job.,,,have
i got a promotion at my job,did you really?,,,got
did you really,"seriously, i am so excited.",,,did
seriously i am so excited,"well, congratulations.",,,am
well congratulations,thank you.,,,congratulations
thank you,i'm so happy for you.,,,thank
im so happy for you,really?,,,m
really,yes. you really deserved this.,,,really
yes you really deserved this,you think so?,,,deserved
you think so,yes. good for you.,,,think
have you heard my good news,you haven't told me anything yet.,,,heard
you havent told me anything yet,i got a promotion at work earlier this week.,,,told
i got a promotion at work earlier this week,is that right?,,,got
is that right,it's the truth. i am really happy.,,,is
its the truth i am really happy,congratulations on your promotion.,,,truth
congratulations on your promotion,thank you very much.,,,congratulations
thank you very much,i am really excited for you.,,,thank
i am really excited for you,are you really?,,,am
are you really,i'm serious. you deserved this promotion.,,,are
im serious you deserved this promotion,is that what you really think?,,,m
is that what you really think,"yes, i do.",,,is
i havent told you what happened yet have i,i haven't heard anything.,,,told
i havent heard anything,"my boss offered me a promotion, and i took it.",,,heard
my boss offered me a promotion and i took it,are you serious?,,,offered
are you serious,"yes, i am really excited.",,,are
yes i am really excited,that's great. congratulations.,,,am
thats great congratulations,i appreciate that.,,,s
i appreciate that,you have no idea how happy i am for you.,,,appreciate
you have no idea how happy i am for you,for real?,,,have
you look really nice today ,thank you. i just got this outfit the other day.,,,look
thank you i just got this outfit the other day,"really, where did you get it?",,,thank
really where did you get it,i got it from macy's.,,,get
i got it from macys,it's really nice.,,,got
its really nice,"thanks again. you look nice today, too.",,,nice
thanks again you look nice today too,thank you. i just got these shoes today.,,,look
thank you i just got these shoes today,really? what kind of shoes are they?,,,thank
really what kind of shoes are they,these are called all star chuck taylors.,,,are
these are called all star chuck taylors,i really like those. how much did they cost?,,,called
i really like those how much did they cost,they were about forty dollars.,,,like
they were about forty dollars,i think i'm going to go buy myself a pair.,,,were
i absolutely love what youre wearing today,you do? i just bought this outfit a couple days ago.,,,love
you do i just bought this outfit a couple days ago,"seriously, it looks really nice on you. where did you buy it from?",,,bought
seriously it looks really nice on you where did you buy it from,i bought it from the macy's at the santa anita mall.,,,looks
i bought it from the macys at the santa anita mall,i really like that outfit.,,,bought
i really like that outfit,"thanks. i think you look nice today, too.",,,like
thanks i think you look nice today too,thank you. i just bought these new shoes earlier today.,,,think
thank you i just bought these new shoes earlier today,those are nice. what are they?,,,thank
those are nice what are they,these are some chucks.,,,are
these are some chucks,those are great. how much were they?,,,are
those are great how much were they,i got them for forty.,,,are
i got them for forty,i think i might go and find me my own pair of chucks.,,,got
i think that you look very cute today,is that right? this is a brand new outfit.,,,think
is that right this is a brand new outfit,what store did you get it from?,,,is
what store did you get it from,i went to macy's and picked it out.,,,get
i went to macys and picked it out,i love your outfit right now.,,,went
i love your outfit right now,"well, i think you look nice today too.",,,love
well i think you look nice today too,thanks. i found these new shoes earlier at the store.,,,think
thanks i found these new shoes earlier at the store,i think that those are some really nice shoes. what kind are they?,,,found
i think that those are some really nice shoes what kind are they,these are chucks.,,,think
these are chucks,your shoes look really nice. how much did you get them for?,,,are
your shoes look really nice how much did you get them for,they only cost me about forty dollars.,,,look
tell me what do you enjoy doing in your spare time,i enjoy drawing and painting.,,,tell
i enjoy drawing and painting,you know how to draw and paint?,,,enjoy
you know how to draw and paint,"yes, i do.",,,know
yes i do,when did you learn how to do that?,,,do
when did you learn how to do that,i learned back in high school.,,,learn
i learned back in high school,"oh, so you took an art class?",,,learned
oh so you took an art class,"yeah, i loved that class.",,,took
yeah i loved that class,i see that you're pretty talented.,,,loved
i see that youre pretty talented,thank you very much.,,,see
thank you very much,i wish i had a talent like that.,,,thank
i wish i had a talent like that,i'm sure you have a talent. it's just hidden.,,,wish
what kinds of things do you like to do,i've always liked to draw and paint.,,,like
ive always liked to draw and paint,i didn't know you knew how to draw and paint.,,,liked
i didnt know you knew how to draw and paint,i do it every once in a while.,,,know
i do it every once in a while,how long have you known how to do that?,,,do
how long have you known how to do that,i first learned how to do it in high school.,,,known
i first learned how to do it in high school,did you take some sort of art class or something?,,,learned
did you take some sort of art class or something,that was my favorite class.,,,take
that was my favorite class,you have got to be talented.,,,was
you have got to be talented,thanks.,,,got
thanks,if only i was talented.,,,thanks
if only i was talented,you have a talent. you just don't know what it is yet.,,,talented
are there any hobbies you do,"when i have time, i sometimes draw and paint.",,,are
when i have time i sometimes draw and paint,"oh, you actually do that?",,,have
oh you actually do that,"every so often, i do.",,,do
every so often i do,did you always know how to draw and paint?,,,do
did you always know how to draw and paint,i was taught in high school how to draw and paint.,,,know
i was taught in high school how to draw and paint,you had an art class?,,,taught
you had an art class,"exactly, it was my favorite class.",,,had
exactly it was my favorite class,"well, it's good that you're so talented.",,,was
well its good that youre so talented,i appreciate that.,,,good
i appreciate that,"talent is a great thing, i wish i had one.",,,appreciate
whats your favorite movie,my favorite movie is superbad.,,,s
my favorite movie is superbad,"oh, why is that?",,,is
oh why is that,it's the funniest movie that i've ever seen.,,,is
its the funniest movie that ive ever seen,that's true. it is a very funny movie.,,,movie
thats true it is a very funny movie,you've seen it before? ,,,s
youve seen it before ,"yes, i saw that movie the first day it came out in theaters.",,,seen
yes i saw that movie the first day it came out in theaters,didn't you laugh through the whole movie? i did.,,,saw
didnt you laugh through the whole movie i did,me too. that movie brought tears to my eyes.,,,did
me too that movie brought tears to my eyes,mine too.,,,brought
mine too,i have it on dvd at my house if you want to come over and watch it.,,,mine
i have it on dvd at my house if you want to come over and watch it,"sure, let's go.",,,have
which movie is your favorite to watch,"i have to say, my favorite movie is superbad.",,,is
i have to say my favorite movie is superbad,is that right? why?,,,have
is that right why,"honestly, it is one of the funniest movies i've seen in a long time.",,,is
honestly it is one of the funniest movies ive seen in a long time,you're right. that movie is hilarious.,,,is
youre right that movie is hilarious,i didn't think you saw that movie.,,,re
i didnt think you saw that movie,i went to see it the day it came out.,,,think
i went to see it the day it came out,i was laughing through the whole movie.,,,went
i was laughing through the whole movie,"i couldn't help laughing, either. ",,,laughing
i couldnt help laughing either ,same here.,,,help
same here,i bought the movie. would you like to come to my house and watch it?,,,here
i bought the movie would you like to come to my house and watch it,of course.,,,like
out of every movie that youve seen which one is your favorite,i'm going to have to say that superbad is the best movie ever.,,,out
im going to have to say that superbad is the best movie ever,"you think so, how come?",,,going
you think so how come,"well, superbad is super funny.",,,think
well superbad is super funny,"you're not lying, i found that movie absolutely hilarious.",,,is
youre not lying i found that movie absolutely hilarious,i didn't know that you saw superbad before.,,,lying
i didnt know that you saw superbad before,i made sure to be in line to see it the first day it came out.,,,know
i made sure to be in line to see it the first day it came out,i couldn't keep from laughing throughout the whole movie.,,,made
i couldnt keep from laughing throughout the whole movie,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,,,keep
i was laughing hysterically the whole time my stomach muscles hurt afterwards,that's exactly how i felt.,,,laughing
thats exactly how i felt,"i got the movie when it came out on dvd, do you want to come over?",,,s
what type of music do you like to listen to,i like listening to different kinds of music.,,,like
i like listening to different kinds of music,"like what, for instance?",,,listening
like what for instance,i enjoy rock and r&b.,,,like
i enjoy rock and rb,why is that?,,,enjoy
why is that,i like the different instruments that they use.,,,is
i like the different instruments that they use,that's a good reason to like something.,,,like
thats a good reason to like something,"yeah, i think so too.",,,s
what kind of music do you enjoy listening to,i enjoy listening to all kinds of music.,,,enjoy
i enjoy listening to all kinds of music,what kind?,,,listening
what kind,i like to listen to rock and r&b.,,,kind
i like to listen to rock and rb,why do you like that type of music?,,,like
why do you like that type of music,i like the kinds of instruments that they use.,,,like
i like the kinds of instruments that they use,i think that's an excellent reason to like something.,,,like
i think thats an excellent reason to like something,"thanks, i feel the same way.",,,think
what is your favorite kind of music,i listen to various types of music.,,,is
i listen to various types of music,what genres?,,,listen
what genres,i enjoy listening to both rock and r&b.,,,genres
i enjoy listening to both rock and rb,what interests you in that type of music?,,,listening
what interests you in that type of music,i enjoy the different types of instruments that they use.,,,interests
i enjoy the different types of instruments that they use,that is a perfect reason to like a certain kind of music.,,,enjoy
did you go to the basketball game on friday,"no, i couldn't make it.",,,go
no i couldnt make it,you missed a really good game.,,,make
you missed a really good game,"oh, really? who won?",,,missed
oh really who won,our school did. they played really well.,,,won
our school did they played really well,too bad i was busy. i really wanted to go.,,,played
too bad i was busy i really wanted to go,"yeah, you should have. it was really exciting.",,,was
yeah you should have it was really exciting,so what was the score?,,,have
so what was the score,the score was 101-98.,,,was
the score was ,"man, that was a really close game.",,,was
man that was a really close game,that's what made it so great.,,,man
thats what made it so great,i'll make sure and make it to the next one.,,,s
were you able to attend friday nights basketball game,i was unable to make it.,,,were
i was unable to make it,you should have been there. it was intense.,,,was
you should have been there it was intense,is that right. who ended up winning?,,,been
is that right who ended up winning,our team was victorious.,,,is
our team was victorious,i wish i was free that night. i'm kind of mad that i didn't go.,,,was
i wish i was free that night im kind of mad that i didnt go,it was a great game.,,,wish
it was a great game,what was the score at the end of the game?,,,was
what was the score at the end of the game,our team won 101-98.,,,was
our team won ,sounds like it was a close game.,,,won
sounds like it was a close game,that's the reason it was such a great game.,,,sounds
thats the reason it was such a great game,"the next game, i will definitely be there.",,,s
i was meaning to ask you if you saw the basketball game on friday,"i wanted to go, but i couldn't.",,,meaning
i wanted to go but i couldnt,it was a great game.,,,wanted
it was a great game,it's too bad that i couldn't make it. who won?,,,was
its too bad that i couldnt make it who won,our team played hard and won.,,,bad
our team played hard and won,i really wish i went to the game.,,,played
i really wish i went to the game,it was the best game ever.,,,wish
it was the best game ever,so tell me the final score.,,,was
so tell me the final score,"the other team lost by three points, 101-98. ",,,tell
the other team lost by three points  ,it must've been a close game.,,,team
it mustve been a close game,it really was. you should've gone.,,,been
what are you doing this weekend,i'm going to the movies with a friend. how about you?,,,doing
im going to the movies with a friend how about you,i'm not sure yet.,,,going
im not sure yet,"well, did you want to go see a movie with me?",,,m
well did you want to go see a movie with me,what movie are you going to see?,,,want
what movie are you going to see,i'm not sure yet. is there something you want to see?,,,going
im not sure yet is there something you want to see,there's nothing i can think of.,,,m
theres nothing i can think of,"so, did you want to go?",,,s
so did you want to go,"no, thanks, maybe another time.",,,want
no thanks maybe another time,"okay, sounds good.",,,thanks
do you know what youre going to do this weekend,i am going to see a movie with a friend of mine. what about you?,,,know
i am going to see a movie with a friend of mine what about you,i don't know.,,,going
i dont know,would you like to see a movie with me and my friend?,,,know
would you like to see a movie with me and my friend,do you know what movie you're going to watch?,,,like
do you know what movie youre going to watch,"i don't know, but was there a certain movie you wanted to see?",,,know
i dont know but was there a certain movie you wanted to see,none that i can think of.,,,know
none that i can think of,"well, would you like to go?",,,none
well would you like to go,"thank you for inviting me, but i think i'll pass.",,,like
thank you for inviting me but i think ill pass,all right. another time then.,,,thank
you have any ideas as to what you want to do this weekend,i'm going to the movie theater with my friend. what are you going to do?,,,have
im going to the movie theater with my friend what are you going to do,i'm not quite sure yet.,,,going
im not quite sure yet,how about you see a movie with me and my friend?,,,m
how about you see a movie with me and my friend,what movie are you and your friend planning on watching?,,,see
what movie are you and your friend planning on watching,not sure. is there a movie out that catches your eye?,,,are
not sure is there a movie out that catches your eye,no good movies come to mind.,,,is
no good movies come to mind,have you decided whether or not you would like to go?,,,come
have you decided whether or not you would like to go,"no, thanks. maybe another time.",,,decided
did you go to school today,"yeah, i went to school today. were you there?",,,go
yeah i went to school today were you there,"no, i didn't go, i've been sick.",,,were
no i didnt go ive been sick,that sucks. did you want the assignments from english class?,,,go
that sucks did you want the assignments from english class,"that would be nice, thank you.",,,want
that would be nice thank you,"no problem, you're welcome.",,,be
no problem youre welcome,i will be glad to do the same for you when you're sick.,,,problem
i will be glad to do the same for you when youre sick,"well, thank you. i hope to see you at school tomorrow.",,,be
have you attended school today,i attended school today. did you?,,,attended
i attended school today did you,i wasn't able to attend school because i was feeling ill.,,,attended
i wasnt able to attend school because i was feeling ill,i'm sorry to hear that. would you like the assignments from english class?,,,was
im sorry to hear that would you like the assignments from english class,"i would really appreciate that, thanks.",,,like
i would really appreciate that thanks,it's no trouble at all.,,,appreciate
its no trouble at all,"if you get sick, i'll return the favor.",,,trouble
if you get sick ill return the favor,thanks. see you at school tomorrow if you feel better.,,,get
have you gone to school today,i went to school today. did you go to school?,,,gone
i went to school today did you go to school,"i couldn't go to school today, i was sick.",,,went
i couldnt go to school today i was sick,that's horrible. i'd be happy to give you the assignments from english class.,,,go
thats horrible id be happy to give you the assignments from english class,"thank you very much, that's kind of you.",,,s
thank you very much thats kind of you,don't mention it.,,,thank
dont mention it,"when you miss a day of school, i'll be happy to give you the english assignments.",,,mention
did you hear the news,what happened?,,,hear
what happened,our cousin went into labor and had her baby last week.,,,happened
our cousin went into labor and had her baby last week,she did? why didn't anyone tell me?,,,went
she did why didnt anyone tell me,i would've thought that somebody would have told you.,,,did
i wouldve thought that somebody would have told you,"no, i had no idea.",,,thought
no i had no idea,"well, she did, her baby was 8 pounds 6 ounces.",,,had
well she did her baby was  pounds  ounces,"oh my god, that's great!",,,did
oh my god thats great,are you going to go and visit her and the baby?,,,s
are you going to go and visit her and the baby,i think that i might.,,,going
i think that i might,good! i just thought i'd let you know.,,,think
good i just thought id let you know,thanks for telling me.,,,good thought
have you heard what happened,heard what?,,,heard
heard what,debrah already had her baby.,,,heard
debrah already had her baby,i didn't know that.,,,had
i didnt know that,i thought you knew.,,,know
i thought you knew,i honestly didn't know.,,,thought
i honestly didnt know,the baby was 8 pounds 6 ounces.,,,know
the baby was  pounds  ounces,that's good to hear.,,,was
thats good to hear,will you go and visit them?,,,s
will you go and visit them,of course i will.,,,go
of course i will,i just wanted to give you the good news.,,,will
i just wanted to give you the good news,thanks for letting me know.,,,wanted
have you heard the news,i haven't heard anything.,,,heard
i havent heard anything,debrah had her baby last week.,,,heard
debrah had her baby last week,nobody told me.,,,had
nobody told me,i thought you heard.,,,told
i thought you heard,i really wasn't told anything.,,,thought
i really wasnt told anything,she was a cute 8 pounds 6 ounces.,,,told
she was a cute  pounds  ounces,"wow, how exciting.",,,was
wow how exciting,"i know, you should really go and see her and the baby.",,,exciting
i know you should really go and see her and the baby,of course i will.,,,go
of course i will,i just wanted to let you know what happened.,,,will
did you go to school today,of course. did you?,,,go
of course did you,"i didn't want to, so i didn't.",,,did
i didnt want to so i didnt,"that's sad, but have you gone to the movies recently?",,,want did
thats sad but have you gone to the movies recently,that's a switch.,,,s
thats a switch,"i'm serious, have you?",,,s
im serious have you,"no, i haven't. why?",,,have
no i havent why,i really want to go to the movies this weekend.,,,have
i really want to go to the movies this weekend,so go then.,,,want
so go then,i really don't want to go by myself.,,,go
i really dont want to go by myself,"well anyway, do you plan on going to school tomorrow?",,,want
well anyway do you plan on going to school tomorrow,"no, i think i'm going to go to the movies.",,,plan
did you make it to school today,i always do. did you go to school today?,,,make
i always do did you go to school today,"no, i didn't.",,,do
no i didnt,"you should have, but have you seen any movies lately?",,,did
you should have but have you seen any movies lately,that was an odd change of subject.,,,have
that was an odd change of subject,"maybe it was, but answer the question.",,,was
maybe it was but answer the question,"no, not recently.",,,was
no not recently,i want to go to see a movie this weekend.,,,recently
i want to go to see a movie this weekend,what's stopping you then?,,,want
whats stopping you then,i don't want to go alone.,,,stopping
i dont want to go alone,"so, will you be at school tomorrow?",,,want
so will you be at school tomorrow,"no, i want to go to the movies instead.",,,be
did you even bother to go to school today,"yeah, i went. did you go?",,,bother
yeah i went did you go,"no, i didn't feel like it.",,,yeah go
no i didnt feel like it,"that's nice, have you been to the movies lately?",,,feel
thats nice have you been to the movies lately,"no, but that was a random change of subject.",,,been
no but that was a random change of subject,"it may have been random, but have you?",,,was
it may have been random but have you,i haven't lately.,,,been
i havent lately,i would love to catch a movie this weekend.,,,have
i would love to catch a movie this weekend,"so then, why don't you just go?",,,love
so then why dont you just go,i don't want to see a movie by myself.,,,go
